Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
1,Connor McDavid,EDM,25,F,65,54,70,124,26,10,22:43,17:23,4:01,1:17,33,18,3,9,1,28,40,2,11,1,61,58,5,20,2,46.8%,2.194,2.844,5.038,1.751,1.486,3.238,4.126,9.168,13.294,0.831,1.077,1.908,288,18.8%,71,35,413,381,52.02%
2,David Pastrnak,BOS,26,F,62,44,40,84,32,29,19:45,15:51,3:51,0:02,30,14,0,7,2,24,16,0,10,1,54,30,0,17,3,35.7%,2.155,1.959,4.115,1.83,1.464,3.294,3.519,4.022,7.541,0.71,0.645,1.355,292,15.1%,69,26,6,9,40.00%
3,Mikko Rantanen,COL,26,F,62,42,31,73,56,5,22:25,18:15,4:08,0:02,33,9,0,8,3,15,16,0,5,0,48,25,0,13,3,34.2%,1.812,1.338,3.15,1.749,0.795,2.544,2.107,3.745,5.852,0.677,0.5,1.177,229,18.3%,69,34,154,183,45.70%
4,Tage Thompson,BUF,25,F,63,42,41,83,26,10,18:47,14:43,3:20,0:43,23,18,1,6,1,28,13,0,7,3,51,31,1,13,4,37.3%,2.128,2.078,4.206,1.487,1.811,3.298,5.118,3.697,8.815,0.667,0.651,1.317,240,17.5%,37,22,312,408,43.33%
5,Leon Draisaitl,EDM,27,F,63,41,55,96,22,-2,21:59,17:13,4:03,0:41,15,26,0,9,1,31,23,1,9,1,46,49,1,18,2,51.0%,1.776,2.382,4.158,0.829,1.714,2.543,6.09,5.387,11.478,0.651,0.873,1.524,191,21.5%,45,35,605,521,53.73%
6,Kirill Kaprizov,MIN,25,F,64,39,34,73,45,5,21:12,17:20,3:50,0:01,23,16,0,6,2,19,15,0,5,0,42,31,0,11,2,42.5%,1.724,1.503,3.228,1.244,1.028,2.271,3.902,3.658,7.56,0.609,0.531,1.141,250,15.6%,65,28,2,3,40.00%
7,Brayden Point,TBL,26,F,64,39,35,74,7,-1,19:37,15:40,3:54,0:01,23,16,0,8,1,25,10,0,6,1,48,26,0,14,2,35.1%,1.863,1.672,3.535,1.375,1.495,2.87,3.835,2.397,6.232,0.609,0.547,1.156,190,20.5%,30,25,328,310,51.41%
8,Jason Robertson,DAL,23,F,64,38,42,80,16,28,18:55,15:38,3:16,0:00,29,9,0,5,0,24,18,0,5,0,53,27,0,10,0,33.8%,1.882,2.081,3.963,1.737,1.438,3.175,2.581,5.162,7.743,0.594,0.656,1.25,253,15.0%,41,12,0,1,0.00%
9,Jack Hughes,NJD,21,F,59,36,40,76,4,8,20:03,16:43,3:15,0:04,30,6,0,5,1,23,17,0,10,6,53,23,0,15,7,30.3%,1.825,2.027,3.852,1.823,1.398,3.221,1.869,5.296,7.166,0.61,0.678,1.288,266,13.5%,11,18,108,200,35.06%
10,Alexander Ovechkin,WSH,37,F,60,36,25,61,26,-6,20:18,15:24,4:52,0:01,25,11,0,3,1,16,9,0,5,0,41,20,0,8,1,32.8%,1.772,1.231,3.003,1.623,1.039,2.662,2.255,1.845,4.1,0.6,0.417,1.017,252,14.3%,149,20,3,4,42.86%
