Year,Round,Overall_Pick,Nationality,Full_Name,Position,season,sequenceNumber,stat_assists,stat_goals,stat_pim,stat_games,stat_penaltyMinutes,stat_points,team_name,team_link,league_name,league_link,team_id,league_id,stat_powerPlayGoals,stat_gameWinningGoals,stat_shortHandedGoals,stat_plusMinus,stat_shots,stat_timeOnIce,stat_hits,stat_powerPlayPoints,stat_powerPlayTimeOnIce,stat_evenTimeOnIce,stat_faceOffPct,stat_shotPct,stat_overTimeGoals,stat_shortHandedPoints,stat_shortHandedTimeOnIce,stat_blocked,stat_shifts,stat_savePercentage,stat_goalAgainstAverage,stat_shutouts,stat_ties,stat_wins,stat_losses,stat_goalsAgainst,stat_shotsAgainst,stat_ot,stat_saves,stat_powerPlaySaves,stat_shortHandedSaves,stat_evenSaves,stat_shortHandedShots,stat_evenShots,stat_powerPlayShots,stat_gamesStarted,stat_powerPlaySavePercentage,stat_shortHandedSavePercentage,stat_evenStrengthSavePercentage,season_played
2015,3,76,Canada,Adin Hill,(G),20172018,1,,,,4.0,,,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,,,,,,240:45,,,,,,,,,,,,0.891473,3.489097,0.0,0.0,1.0,3.0,14.0,129.0,0.0,115.0,7.0,2.0,106.0,2.0,118.0,9.0,4.0,77.77777777777779,100.0,89.83050847457628,3
2016,2,48,Canada,Carter Hart,(G),20182019,1,,,,31.0,,,Philadelphia Flyers,/api/v1/teams/4,National Hockey League,/api/v1/league/133,4.0,133.0,,,,,,1716:55,,,,,,,,,,,,0.917008,2.830656,0.0,0.0,16.0,13.0,81.0,976.0,1.0,895.0,87.0,31.0,777.0,32.0,848.0,96.0,30.0,90.625,96.875,91.62735849056604,3
2017,3,64,Canada,Michael DiPietro,(G),20182019,1,,,,1.0,,,Vancouver Canucks,/api/v1/teams/23,National Hockey League,/api/v1/league/133,23.0,133.0,,,,,,60:00,,,,,,,,,,,,0.708333,7.0,0.0,0.0,0.0,1.0,7.0,24.0,0.0,17.0,3.0,1.0,13.0,1.0,20.0,3.0,1.0,100.0,100.0,65.0,2
2017,3,64,Canada,Michael DiPietro,(G),20192020,1,,,,1.0,,,Vancouver Canucks,/api/v1/teams/23,National Hockey League,/api/v1/league/133,23.0,133.0,,,,,,08:23,,,,,,,,,,,,0.857,7.1571,0.0,0.0,0.0,0.0,1.0,7.0,0.0,6.0,0.0,2.0,4.0,2.0,4.0,1.0,0.0,0.0,100.0,100.0,3
2017,5,129,Switzerland,Gilles Senn,(G),20192020,1,,,,2.0,,,New Jersey Devils,/api/v1/teams/1,National Hockey League,/api/v1/league/133,1.0,133.0,,,,,,70:05,,,,,,,,,,,,0.902,3.4245,0.0,0.0,0.0,1.0,4.0,41.0,0.0,37.0,7.0,0.0,30.0,0.0,34.0,7.0,1.0,100.0,,88.23529411764706,3
2017,7,194,Canada,Dylan Ferguson,(G),20172018,1,,,,1.0,,,Vegas Golden Knights,/api/v1/teams/54,National Hockey League,/api/v1/league/133,54.0,133.0,,,,,,09:14,,,,,,,,,,,,0.5,6.498195,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,100.0,1
2017,7,199,United States,Cayden Primeau,(G),20192020,1,,,,2.0,,,Montréal Canadiens,/api/v1/teams/8,National Hockey League,/api/v1/league/133,8.0,133.0,,,,,,119:06,,,,,,,,,,,,0.931,2.5189,0.0,0.0,1.0,1.0,5.0,72.0,0.0,67.0,13.0,2.0,52.0,3.0,55.0,14.0,2.0,92.85714285714286,66.66666666666666,94.54545454545455,3
2018,4,114,Russia,Ivan Prosvetov,(G),20202021,1,,,,3.0,,,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,,,,,,130:01,,,,,,,,,,,,0.824,4.1533,0.0,0.0,0.0,1.0,9.0,51.0,0.0,42.0,3.0,3.0,36.0,3.0,42.0,6.0,1.0,50.0,100.0,85.71428571428571,3
2018,6,173,Finland,Veini Vehvilainen,(G),20202021,1,,,,1.0,,,Columbus Blue Jackets,/api/v1/teams/29,National Hockey League,/api/v1/league/133,29.0,133.0,,,,,,10:40,,,,,,,,,,,,0.75,5.625,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,100.0,50.0,100.0,3
2019,1,13,United States,Spencer Knight,(G),20202021,1,,,,4.0,,,Florida Panthers,/api/v1/teams/13,National Hockey League,/api/v1/league/133,13.0,133.0,,,,,,206:54,,,,,,,,,,,,0.919,2.32,0.0,0.0,4.0,0.0,8.0,99.0,0.0,91.0,7.0,3.0,81.0,3.0,87.0,9.0,3.0,77.77777777777779,100.0,93.10344827586206,2
