Year,Award,Height,,,
2022,MVP,191,,,
2021,MVP,185,,,
2020,MVP,188,,,
2019,MVP,180,,,
2018,MVP,185,,,
2017,MVP,185,,,
2016,MVP,178,,,
2015,MVP,191,,,
2014,MVP,180,,,
2013,MVP,191,,,
2012,MVP,191,,,
2022,BestD,180,,,
2021,BestD,180,,,
2020,BestD,185,,,
2019,BestD,183,,,
2018,BestD,201,,,
2017,BestD,196,,,
2016,BestD,185,,,
2015,BestD,183,,,
2014,BestD,185,,,
2013,BestD,183,,,
2012,BestD,183,,,
2022,LeadingGoal,191,,,
2021,LeadingGoal,191,,,
2020,LeadingGoal,188,,,
2019,LeadingGoal,191,,,188
2018,LeadingGoal,191,,,
2017,LeadingGoal,180,,,
2016,LeadingGoal,191,,,
2015,LeadingGoal,191,,,
2014,LeadingGoal,191,,,
2013,LeadingGoal,191,,,
2012,LeadingGoal,183,,,
